index,country,countryCode,GDP,POP,countryId
0,Argentina,AR,14398.358770905501,44271041.0,1
1,Armenia,AM,3936.7983196528703,2930450.0,2
2,Australia,AU,53793.5372560884,24601860.0,3
3,Austria,AT,47380.8296365373,8797566.0,4
4,Bosnia and Herzegovina,BA,5148.208516959389,3507017.0,5
5,Brazil,BR,9812.27853101845,209288278.0,6
6,Bulgaria,BG,8228.011569726501,7075947.0,7
7,Canada,CA,44870.7761570967,36708083.0,8
8,Chile,CL,15346.4496997595,18054726.0,9
9,China,CN,8826.99409574835,1386395000.0,10
10,Croatia,HR,13386.512859433999,4124531.0,11
11,Cyprus,CY,25658.7996638379,1179551.0,12
12,Czech Republic,CZ,20379.8960396417,10594438.0,13
13,England,,,,14
14,France,FR,38484.1899236567,67105513.0,15
15,Georgia,GE,4045.41896743873,3728004.0,16
16,Germany,DE,44665.50636579809,82685827.0,17
17,Greece,GR,18885.4759826453,10753531.0,18
18,Hungary,HU,14278.8744978024,9787966.0,19
19,India,IN,1979.3643005306,1339180127.0,20
20,Israel,IL,40543.5841665702,8713300.0,21
21,Italy,IT,32110.0272619967,60536709.0,22
22,Lebanon,LB,8808.58944759405,6082357.0,23
23,Luxembourg,LU,104498.738671031,596336.0,24
24,Macedonia,,,,25
25,Mexico,MX,8910.33317708802,129163276.0,26
26,Moldova,,,,27
27,Morocco,MA,3022.9279201897803,35739580.0,28
28,New Zealand,NZ,42583.084734458396,4793900.0,29
29,Peru,PE,6571.92864469964,32165485.0,30
30,Portugal,PT,21291.431209519098,10300300.0,31
31,Romania,RO,10819.2440243784,19583986.0,32
32,Serbia,RS,5901.223013079929,7020858.0,33
33,Slovenia,SI,23601.4027758769,2066388.0,34
34,South Africa,ZA,6151.0779553128505,56717156.0,35
35,Spain,ES,28208.300405271802,46593171.0,36
36,Switzerland,CH,80342.8463384363,8450851.0,37
37,Turkey,TR,10546.1525631603,80745020.0,38
38,US,,,,39
39,Ukraine,UA,2639.82432586795,44831135.0,40
40,Uruguay,UY,16245.598367743101,3456750.0,41
