stateId,country,state,GDP,countryId
0,Portugal,Douro,0,31
1,US,Oregon,"238,687",39
3,Spain,Northern Spain,0,36
4,Italy,Sicily & Sardinia,0,22
5,France,Alsace,0,15
7,US,California,"2,935,332",39
11,Argentina,Other,0,1
12,Argentina,Mendoza Province,0,1
24,Chile,Colchagua Valley,0,9
26,France,Beaujolais,0,15
27,Chile,Maule Valley,0,9
30,France,Bordeaux,0,15
32,Chile,Maipo Valley,0,9
33,US,Washington,"559,011",39
35,Italy,Central Italy,0,22
37,France,Champagne,0,15
39,France,Burgundy,0,15
46,Italy,Southern Italy,0,22
50,Australia,South Australia,0,3
52,Chile,Rapel Valley,0,9
53,Spain,Galicia,0,36
54,France,France Other,0,15
59,Italy,Tuscany,0,22
64,Austria,Burgenland,0,4
70,Chile,Leyda Valley,0,9
87,South Africa,Stellenbosch,0,35
88,South Africa,Simonsberg-Stellenbosch,0,35
96,Portugal,Alentejano,0,31
99,Spain,Central Spain,0,36
103,France,Southwest France,0,15
106,Chile,Aconcagua Valley,0,9
112,Chile,Loncomilla Valley,0,9
114,New Zealand,Marlborough,0,29
120,Chile,Casablanca Valley,0,9
123,South Africa,Western Cape,0,35
126,Italy,Northeastern Italy,0,22
127,Israel,Judean Hills,0,21
128,Portugal,Alentejo,0,31
133,South Africa,Coastal Region,0,35
134,France,Rhône Valley,0,15
140,Israel,Galilee,0,21
142,Portugal,Beira Atlantico,0,31
144,Hungary,Tokaj,0,19
150,US,New York,"1,675,685",39
171,Austria,Leithaberg,0,4
172,Greece,Santorini,0,18
176,Austria,Kremstal,0,4
180,Spain,Catalonia,0,36
190,New Zealand,Hawke's Bay,0,29
191,Chile,Curicó Valley,0,9
194,Chile,Limarí Valley,0,9
197,Chile,Colchagua Costa,0,9
198,France,Languedoc-Roussillon,0,15
199,France,Provence,0,15
206,Australia,Victoria,0,3
210,Italy,Piedmont,0,22
211,Hungary,Tokaji,0,19
226,Italy,Veneto,0,22
241,Chile,Central Valley,0,9
242,Chile,Lontué Valley,0,9
255,Austria,Weinviertel,0,4
270,Austria,Niederösterreich,0,4
272,Austria,Wagram,0,4
275,France,Loire Valley,0,15
277,Italy,Lombardy,0,22
280,Canada,Ontario,0,8
309,Austria,Österreichischer Sekt,0,4
386,Austria,Kamptal,0,4
388,Austria,Steiermark,0,4
389,Austria,Südsteiermark,0,4
397,Greece,Crete,0,18
400,Mexico,Valle de Guadalupe,0,26
407,Portugal,Vinho Verde,0,31
409,US,Idaho,"76,187",39
430,Portugal,Tejo,0,31
435,Australia,Western Australia,0,3
450,Spain,Levante,0,36
489,New Zealand,Martinborough,0,29
493,New Zealand,Central Otago,0,29
497,Portugal,Lisboa,0,31
