stateId,country,state,GDP,countryId
0,Portugal,Douro,0,31
1,US,Oregon,"238,687",39
2,US,Oregon,"238,687",39
3,Spain,Northern Spain,0,36
4,Italy,Sicily & Sardinia,0,22
5,France,Alsace,0,15
6,France,Alsace,0,15
7,US,California,"2,935,332",39
8,France,Alsace,0,15
9,US,California,"2,935,332",39
10,US,California,"2,935,332",39
11,Argentina,Other,0,1
12,Argentina,Mendoza Province,0,1
13,Spain,Northern Spain,0,36
14,US,Oregon,"238,687",39
15,Italy,Sicily & Sardinia,0,22
16,US,California,"2,935,332",39
17,Italy,Sicily & Sardinia,0,22
18,US,California,"2,935,332",39
19,Italy,Sicily & Sardinia,0,22
20,Italy,Sicily & Sardinia,0,22
21,Italy,Sicily & Sardinia,0,22
22,US,California,"2,935,332",39
23,US,Oregon,"238,687",39
24,Chile,Colchagua Valley,0,9
25,US,Oregon,"238,687",39
26,France,Beaujolais,0,15
27,Chile,Maule Valley,0,9
28,France,Beaujolais,0,15
29,Chile,Colchagua Valley,0,9
30,France,Bordeaux,0,15
31,US,California,"2,935,332",39
32,Chile,Maipo Valley,0,9
33,US,Washington,"559,011",39
34,US,California,"2,935,332",39
35,Italy,Central Italy,0,22
36,US,Washington,"559,011",39
37,France,Champagne,0,15
38,US,California,"2,935,332",39
39,France,Burgundy,0,15
40,France,Burgundy,0,15
41,US,Washington,"559,011",39
42,US,California,"2,935,332",39
43,France,Champagne,0,15
44,US,Washington,"559,011",39
45,US,California,"2,935,332",39
46,Italy,Southern Italy,0,22
47,US,California,"2,935,332",39
48,US,California,"2,935,332",39
49,US,California,"2,935,332",39
50,Australia,South Australia,0,3
51,US,Oregon,"238,687",39
52,Chile,Rapel Valley,0,9
53,Spain,Galicia,0,36
54,France,France Other,0,15
55,Australia,South Australia,0,3
56,US,California,"2,935,332",39
57,US,Washington,"559,011",39
58,US,California,"2,935,332",39
59,Italy,Tuscany,0,22
60,Italy,Tuscany,0,22
61,US,California,"2,935,332",39
62,US,California,"2,935,332",39
63,US,California,"2,935,332",39
64,Austria,Burgenland,0,4
65,US,Washington,"559,011",39
66,France,Beaujolais,0,15
67,France,Beaujolais,0,15
68,Italy,Tuscany,0,22
69,US,California,"2,935,332",39
70,Chile,Leyda Valley,0,9
71,Italy,Tuscany,0,22
72,Italy,Tuscany,0,22
73,Italy,Tuscany,0,22
74,Italy,Tuscany,0,22
75,US,California,"2,935,332",39
76,Italy,Tuscany,0,22
77,France,Beaujolais,0,15
78,US,California,"2,935,332",39
79,Italy,Tuscany,0,22
80,Italy,Tuscany,0,22
81,US,California,"2,935,332",39
82,US,California,"2,935,332",39
83,US,California,"2,935,332",39
84,US,California,"2,935,332",39
