index,taster_name,taster_twitter_handle,tasterID
0,Anne Krebiehl MW,@AnneInVino,1
1,Christina Pickard,@winewchristina,2
2,Fiona Adams,@bkfiona,3
3,Jeff Jenssen,@worldwineguys,4
4,Jim Gordon,@gordone_cellars,5
5,Joe Czerwinski,@JoeCz,6
6,Kerin O’Keefe,@kerinokeefe,7
7,Lauren Buzzeo,@laurbuzz,8
8,Matt Kettmann,@mattkettmann,9
9,Michael Schachner,@wineschach,10
10,Mike DeSimone,@worldwineguys,11
11,Paul Gregutt,@paulgwine ,12
12,Roger Voss,@vossroger,13
13,Sean P. Sullivan,@wawinereport,14
14,Susan Kostrzewa,@suskostrzewa,15
15,Virginie Boone,@vboone,16
